epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
102,95.67%,95.83%,95.51%,96.54%,99.93%,0.0
103,95.69%,95.83%,95.55%,96.29%,99.95%,0.0
104,95.86%,95.88%,95.85%,96.45%,99.91%,0.0
105,95.93%,95.87%,95.99%,96.55%,99.95%,0.0
106,96.01%,96.13%,95.89%,96.64%,99.95%,0.0
107,96.03%,96.03%,96.04%,96.72%,99.95%,0.0
108,96.15%,96.10%,96.21%,96.67%,99.96%,0.0
109,96.25%,95.92%,96.57%,96.90%,99.95%,0.0
110,96.25%,96.09%,96.40%,96.80%,99.95%,0.0
111,96.49%,96.48%,96.50%,97.05%,99.99%,0.0
112,96.48%,96.29%,96.67%,96.98%,99.94%,0.0
113,96.51%,96.29%,96.73%,97.13%,99.96%,1.0
114,96.64%,96.53%,96.74%,97.14%,99.95%,1.0
115,96.60%,96.53%,96.66%,97.13%,99.94%,0.0
116,96.74%,96.76%,96.72%,97.05%,99.96%,0.0
117,96.72%,96.62%,96.83%,97.13%,99.95%,0.0
118,96.65%,96.56%,96.74%,97.09%,99.97%,0.0
119,96.85%,96.80%,96.90%,97.14%,99.96%,1.0
120,96.81%,96.74%,96.88%,97.20%,99.98%,1.0
121,96.45%,96.49%,96.40%,96.96%,99.95%,0.0
122,96.41%,96.45%,96.37%,97.01%,99.96%,0.0
123,96.31%,96.31%,96.31%,96.87%,99.95%,0.0
124,96.38%,96.41%,96.34%,96.96%,99.95%,0.0
125,96.18%,96.13%,96.23%,96.84%,99.95%,0.0
126,96.18%,96.31%,96.05%,96.83%,99.96%,0.0
127,96.45%,96.28%,96.63%,96.98%,99.91%,0.0
128,96.30%,96.14%,96.46%,96.83%,99.96%,0.0
129,96.44%,96.34%,96.53%,96.96%,99.97%,0.0
130,96.54%,96.44%,96.64%,97.05%,99.98%,0.0
131,96.56%,96.54%,96.57%,96.98%,99.97%,0.0
132,96.52%,96.55%,96.49%,97.07%,99.97%,0.0
133,96.54%,96.52%,96.56%,97.01%,99.96%,0.0
134,96.29%,96.28%,96.30%,96.76%,99.94%,0.0
