epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
199,50.43%,75.73%,0.0
200,49.80%,75.36%,0.0
201,48.79%,74.50%,0.0
202,50.09%,75.30%,0.0
203,50.02%,75.70%,0.0
204,49.76%,75.25%,0.0
205,49.90%,74.66%,0.0
206,50.50%,75.86%,0.0
207,47.50%,73.52%,0.0
208,47.88%,74.42%,0.0
209,49.98%,74.92%,0.0
210,49.17%,74.21%,0.0
211,49.71%,74.54%,0.0
212,49.80%,75.83%,0.0
213,49.49%,75.53%,0.0
214,51.30%,75.80%,0.0
211,50.68%,75.73%,1.0
212,49.24%,74.68%,0.0
213,48.50%,74.11%,0.0
214,50.20%,75.35%,0.0
215,48.38%,73.24%,0.0
216,50.12%,75.41%,0.0
217,49.84%,74.46%,0.0
218,50.05%,74.20%,0.0
219,51.69%,76.09%,1.0
220,50.32%,75.14%,0.0
221,51.54%,76.45%,0.0
222,51.14%,76.31%,0.0
223,50.36%,75.38%,0.0
224,51.53%,76.49%,0.0
225,47.12%,72.93%,0.0
226,49.14%,74.22%,0.0
227,49.11%,74.64%,0.0
228,47.24%,73.13%,0.0
229,50.24%,75.58%,0.0
230,52.25%,77.05%,1.0
231,49.37%,74.84%,0.0
232,50.49%,75.41%,0.0
233,50.57%,75.75%,0.0
234,51.06%,76.61%,0.0
235,49.87%,75.47%,0.0
236,47.21%,72.42%,0.0
237,51.57%,75.77%,0.0
238,49.92%,75.61%,0.0
239,48.26%,73.73%,0.0
240,48.99%,74.19%,0.0
241,48.03%,72.77%,0.0
242,50.22%,75.79%,0.0
243,47.67%,73.08%,0.0
244,48.84%,74.46%,0.0
245,48.55%,72.82%,0.0
246,49.32%,74.47%,0.0
247,49.90%,74.70%,0.0
248,51.49%,75.81%,0.0
249,50.76%,75.64%,0.0
250,49.98%,75.29%,0.0
251,49.26%,75.11%,0.0
252,49.44%,74.75%,0.0
253,49.33%,74.98%,0.0
254,50.38%,75.47%,0.0
255,50.36%,75.84%,0.0
256,52.09%,76.20%,0.0
257,50.05%,75.29%,0.0
258,48.96%,74.56%,0.0
259,49.57%,73.85%,0.0
260,51.62%,77.12%,0.0
261,46.37%,72.20%,0.0
262,49.74%,74.45%,0.0
263,50.31%,74.99%,0.0
264,48.16%,73.60%,0.0
265,49.88%,75.16%,0.0
266,50.26%,75.14%,0.0
267,48.65%,73.36%,0.0
268,46.82%,72.39%,0.0
269,50.04%,76.15%,0.0
270,50.07%,74.62%,0.0
271,50.95%,75.78%,0.0
272,51.93%,76.58%,0.0
273,50.82%,75.56%,0.0
274,49.17%,74.22%,0.0
275,47.69%,72.65%,0.0
276,51.14%,76.34%,0.0
277,48.23%,73.15%,0.0
278,47.51%,72.45%,0.0
279,49.70%,75.00%,0.0
280,49.47%,74.88%,0.0
281,50.40%,74.44%,0.0
282,51.66%,75.93%,0.0
283,50.69%,75.63%,0.0
284,50.28%,75.40%,0.0
285,51.66%,76.54%,0.0
286,50.46%,75.80%,0.0
287,50.10%,75.58%,0.0
288,48.63%,73.42%,0.0
289,50.29%,75.71%,0.0
290,50.67%,75.42%,0.0
291,50.10%,75.06%,0.0
292,48.86%,74.89%,0.0
293,51.07%,76.10%,0.0
294,52.03%,76.96%,0.0
295,48.43%,73.53%,0.0
296,51.77%,75.68%,0.0
297,48.78%,74.61%,0.0
298,52.39%,77.50%,1.0
299,49.93%,74.50%,0.0
300,50.07%,75.09%,0.0
301,48.54%,74.33%,0.0
302,50.69%,75.56%,0.0
303,51.29%,76.42%,0.0
304,50.84%,76.26%,0.0
305,50.17%,76.17%,0.0
306,49.96%,75.83%,0.0
