epoch,test/accuracy,test/accuracytop5,general/checkpoint_saved
862,57.82%,79.23%,0.0
863,58.09%,79.45%,0.0
864,58.01%,79.68%,0.0
865,57.82%,79.68%,0.0
866,57.50%,78.75%,0.0
867,58.04%,79.34%,0.0
868,57.87%,79.85%,0.0
869,56.76%,79.26%,0.0
870,56.28%,78.57%,0.0
871,57.33%,78.85%,0.0
872,57.65%,78.95%,0.0
873,57.16%,79.20%,0.0
874,57.53%,78.88%,0.0
875,57.05%,78.59%,0.0
876,56.36%,78.79%,0.0
877,57.73%,79.06%,0.0
878,58.27%,80.04%,0.0
879,55.97%,78.07%,0.0
880,56.46%,79.01%,0.0
881,56.95%,78.86%,0.0
882,57.83%,79.56%,0.0
883,58.17%,79.59%,0.0
884,57.32%,78.84%,0.0
885,56.52%,79.21%,0.0
886,57.95%,79.07%,0.0
887,57.48%,79.03%,0.0
888,56.61%,78.70%,0.0
889,56.44%,78.76%,0.0
890,57.51%,79.29%,0.0
891,58.00%,79.50%,0.0
892,57.63%,79.20%,0.0
893,58.07%,80.13%,0.0
894,58.20%,79.60%,0.0
895,58.23%,80.05%,0.0
896,56.52%,79.16%,0.0
897,57.56%,79.30%,0.0
898,56.73%,78.87%,0.0
899,56.97%,78.71%,0.0
900,62.13%,82.21%,0.0
901,62.69%,82.45%,0.0
902,62.79%,82.70%,0.0
903,62.98%,82.71%,0.0
904,63.07%,82.78%,0.0
905,63.04%,82.91%,0.0
906,63.13%,82.89%,0.0
907,63.16%,82.99%,0.0
908,63.42%,82.90%,0.0
909,63.22%,83.02%,0.0
910,63.38%,82.95%,0.0
911,63.28%,83.20%,0.0
912,63.42%,83.08%,0.0
913,63.53%,83.19%,0.0
914,63.44%,83.17%,0.0
915,63.39%,83.23%,0.0
916,63.29%,83.23%,0.0
917,63.50%,83.16%,0.0
918,63.63%,83.21%,0.0
919,63.51%,83.22%,0.0
920,63.26%,83.31%,0.0
921,63.37%,83.22%,0.0
922,63.47%,83.20%,0.0
923,63.57%,83.35%,0.0
924,63.37%,83.42%,0.0
925,63.44%,83.34%,0.0
926,63.58%,83.46%,0.0
927,63.54%,83.48%,0.0
928,63.51%,83.48%,0.0
929,63.36%,83.44%,0.0
930,63.57%,83.49%,0.0
931,63.38%,83.28%,0.0
932,63.60%,83.76%,0.0
933,63.43%,83.41%,0.0
934,63.49%,83.53%,0.0
935,63.56%,83.45%,0.0
936,63.60%,83.40%,0.0
937,63.51%,83.52%,0.0
938,63.54%,83.54%,0.0
939,63.64%,83.59%,0.0
940,63.40%,83.49%,0.0
941,63.49%,83.51%,0.0
942,63.54%,83.46%,0.0
943,63.60%,83.44%,0.0
944,63.57%,83.43%,0.0
945,63.59%,83.51%,0.0
946,63.53%,83.39%,0.0
947,63.60%,83.37%,0.0
948,63.43%,83.44%,0.0
949,63.62%,83.57%,0.0
950,63.51%,83.63%,0.0
951,63.78%,83.59%,0.0
952,63.52%,83.64%,0.0
953,63.87%,83.57%,0.0
954,63.57%,83.65%,0.0
955,63.69%,83.56%,0.0
956,63.61%,83.51%,0.0
957,63.63%,83.60%,0.0
958,63.49%,83.61%,0.0
959,63.61%,83.54%,0.0
960,63.69%,83.48%,0.0
961,63.65%,83.64%,0.0
962,63.67%,83.67%,0.0
963,63.73%,83.66%,0.0
964,63.76%,83.63%,0.0
965,63.69%,83.67%,0.0
966,63.91%,83.73%,0.0
967,63.87%,83.72%,0.0
968,63.74%,83.67%,0.0
969,63.73%,83.65%,0.0
970,63.87%,83.64%,0.0
971,63.59%,83.75%,0.0
972,63.73%,83.75%,0.0
973,63.70%,83.68%,0.0
974,63.83%,83.73%,0.0
975,63.80%,83.84%,0.0
976,63.72%,83.76%,0.0
977,63.78%,83.69%,0.0
978,63.89%,83.89%,0.0
979,63.86%,83.80%,0.0
980,63.87%,83.82%,0.0
981,63.76%,83.77%,0.0
982,63.91%,83.74%,0.0
983,63.78%,83.85%,0.0
984,63.63%,83.84%,0.0
985,63.78%,83.76%,0.0
986,63.80%,83.75%,0.0
987,63.80%,83.76%,0.0
988,63.92%,83.83%,0.0
989,63.91%,83.69%,0.0
990,63.94%,83.83%,0.0
991,63.89%,83.78%,0.0
992,63.99%,83.73%,0.0
993,63.77%,83.90%,0.0
994,64.06%,83.87%,0.0
995,64.03%,83.85%,0.0
996,63.97%,83.86%,0.0
997,64.01%,83.70%,0.0
998,64.01%,83.90%,0.0
999,64.13%,83.89%,0.0
1000,63.94%,83.90%,0.0
1001,63.99%,83.90%,0.0
1002,63.95%,83.96%,0.0
1003,63.97%,83.88%,0.0
1004,64.05%,84.06%,0.0
1005,63.81%,83.78%,0.0
1006,64.13%,83.83%,0.0
1007,64.07%,83.89%,0.0
1008,63.93%,83.91%,0.0
1009,63.94%,83.72%,0.0
1010,64.04%,83.91%,0.0
1011,63.97%,83.92%,0.0
1012,64.14%,83.93%,0.0
1013,63.94%,83.97%,0.0
1014,64.02%,84.03%,0.0
1015,63.81%,83.84%,0.0
1016,64.01%,83.97%,0.0
1017,64.02%,83.94%,0.0
1018,63.84%,83.92%,0.0
1019,64.04%,83.85%,0.0
1020,63.98%,83.93%,0.0
1021,64.02%,83.96%,0.0
1022,63.98%,84.08%,0.0
1023,63.99%,83.96%,0.0
1024,63.93%,83.91%,0.0
1025,64.14%,83.92%,0.0
1026,64.06%,83.94%,0.0
1027,64.02%,83.88%,0.0
1028,64.19%,83.99%,0.0
1029,64.09%,84.08%,0.0
1030,63.94%,84.00%,0.0
1031,64.21%,83.86%,0.0
1032,63.85%,84.05%,0.0
1033,64.14%,84.05%,0.0
1034,64.12%,84.07%,0.0
1035,64.01%,83.99%,0.0
1036,64.10%,83.74%,0.0
1037,64.02%,83.73%,0.0
1038,64.22%,83.96%,0.0
1039,64.08%,83.91%,0.0
1040,64.20%,84.02%,0.0
1041,64.21%,83.93%,0.0
1042,64.09%,84.04%,0.0
1043,64.15%,83.99%,0.0
1044,64.09%,83.92%,0.0
1045,64.10%,83.95%,0.0
1046,64.13%,83.83%,0.0
1047,64.09%,83.92%,0.0
1048,64.05%,83.99%,0.0
1049,64.08%,83.96%,0.0
1050,64.24%,83.96%,0.0
1051,64.29%,83.89%,0.0
1052,64.09%,84.01%,0.0
1053,64.27%,84.01%,0.0
1054,64.26%,84.04%,0.0
1055,64.20%,84.05%,0.0
1056,64.29%,83.87%,0.0
1057,64.05%,83.85%,0.0
1058,64.22%,83.86%,0.0
1059,64.24%,83.86%,0.0
1060,64.26%,83.90%,0.0
1061,64.23%,83.81%,0.0
1062,64.09%,83.89%,0.0
1063,64.36%,83.94%,0.0
1064,64.34%,83.90%,0.0
1065,64.29%,83.86%,0.0
1066,64.27%,83.95%,0.0
1067,64.14%,83.81%,0.0
1068,64.25%,83.95%,0.0
1069,64.24%,83.86%,0.0
1070,64.22%,83.79%,0.0
1071,64.40%,83.89%,0.0
1072,64.27%,83.86%,0.0
1073,64.34%,83.97%,0.0
1074,64.25%,83.95%,0.0
1075,64.40%,83.95%,0.0
1076,64.18%,83.89%,0.0
1077,64.24%,83.79%,0.0
1078,64.23%,83.91%,0.0
1079,64.34%,83.93%,0.0
1080,64.25%,83.83%,0.0
1081,64.10%,83.84%,0.0
1082,64.29%,83.93%,0.0
1083,64.34%,83.86%,0.0
1084,64.42%,83.97%,0.0
1085,64.07%,83.76%,0.0
1086,64.20%,83.73%,0.0
1087,64.20%,83.83%,0.0
1088,64.25%,83.78%,0.0
1089,64.31%,83.94%,0.0
1090,64.40%,83.96%,0.0
1091,64.21%,84.01%,0.0
1092,64.31%,83.96%,0.0
1093,64.31%,83.93%,0.0
1094,64.31%,83.84%,0.0
1095,64.20%,83.99%,0.0
1096,64.42%,84.01%,0.0
1097,64.23%,83.91%,0.0
1098,64.10%,83.74%,0.0
1099,64.26%,83.77%,0.0
1100,64.23%,83.89%,0.0
1101,64.25%,83.74%,0.0
1102,64.32%,83.87%,0.0
1103,64.05%,83.75%,0.0
1104,64.37%,83.75%,0.0
1105,64.26%,83.72%,0.0
1106,64.13%,83.69%,0.0
1107,64.23%,83.77%,0.0
1108,64.26%,83.96%,0.0
1109,64.19%,83.72%,0.0
1110,64.38%,83.88%,0.0
1111,64.21%,83.80%,0.0
1112,64.10%,83.78%,0.0
1113,64.29%,83.75%,0.0
1114,64.15%,83.75%,0.0
1115,64.26%,83.83%,0.0
1116,64.28%,83.83%,0.0
1117,64.31%,83.75%,0.0
1118,64.22%,83.95%,0.0
1119,64.23%,83.89%,0.0
1120,64.24%,83.63%,0.0
1121,64.16%,83.79%,0.0
1122,64.27%,83.78%,0.0
1123,64.30%,83.86%,0.0
1124,64.27%,83.74%,0.0
1125,64.17%,83.63%,0.0
1126,64.26%,83.74%,0.0
1127,64.13%,83.74%,0.0
1128,64.14%,83.72%,0.0
1129,64.16%,83.70%,0.0
1130,64.11%,83.71%,0.0
1131,64.02%,83.72%,0.0
1132,64.28%,83.68%,0.0
1133,64.18%,83.77%,0.0
1134,64.18%,83.84%,0.0
1135,64.21%,83.88%,0.0
1136,64.27%,83.72%,0.0
1137,64.07%,83.55%,0.0
1138,64.21%,83.82%,0.0
1139,64.10%,83.62%,0.0
1140,64.15%,83.84%,0.0
1141,64.19%,83.90%,0.0
1142,64.08%,83.71%,0.0
1143,64.24%,83.63%,0.0
1144,64.11%,83.64%,0.0
1145,64.20%,83.66%,0.0
1146,64.32%,83.74%,0.0
1147,64.13%,83.65%,0.0
1148,64.22%,83.70%,0.0
1149,64.21%,83.79%,0.0
1150,64.16%,83.55%,0.0
1151,64.07%,83.48%,0.0
1152,64.12%,83.57%,0.0
1153,64.15%,83.75%,0.0
1154,64.01%,83.64%,0.0
1155,64.05%,83.66%,0.0
1156,64.12%,83.68%,0.0
1157,63.91%,83.68%,0.0
1158,64.18%,83.73%,0.0
1159,64.13%,83.71%,0.0
1160,63.98%,83.57%,0.0
1161,64.20%,83.47%,0.0
1162,64.16%,83.77%,0.0
1163,64.19%,83.61%,0.0
1164,64.13%,83.58%,0.0
1165,64.21%,83.53%,0.0
1166,64.17%,83.64%,0.0
1167,64.19%,83.53%,0.0
1168,64.04%,83.65%,0.0
1169,64.11%,83.57%,0.0
1170,63.96%,83.66%,0.0
1171,64.29%,83.50%,0.0
1172,64.20%,83.61%,0.0
1173,64.23%,83.64%,0.0
1174,64.16%,83.55%,0.0
1175,64.13%,83.41%,0.0
1176,64.16%,83.49%,0.0
1177,64.56%,83.64%,1.0
1178,64.40%,83.60%,0.0
1179,64.19%,83.56%,0.0
1180,64.28%,83.51%,0.0
1181,64.24%,83.48%,0.0
1182,64.23%,83.45%,0.0
1183,63.99%,83.49%,0.0
1184,64.13%,83.57%,0.0
1185,64.17%,83.42%,0.0
1186,64.18%,83.52%,0.0
1187,64.18%,83.42%,0.0
1188,64.20%,83.40%,0.0
1189,64.15%,83.42%,0.0
1190,64.19%,83.61%,0.0
1191,64.07%,83.54%,0.0
1192,64.24%,83.66%,0.0
1193,64.25%,83.63%,0.0
1194,64.20%,83.60%,0.0
1195,64.09%,83.52%,0.0
1196,64.22%,83.61%,0.0
1197,64.27%,83.52%,0.0
