epoch,test/accuracy_mean,test/accuracy_0,test/accuracy_1,test/accuracy,test/accuracytop5,general/checkpoint_saved
109,95.66%,95.75%,95.56%,96.30%,99.96%,0
110,95.47%,95.65%,95.30%,96.26%,99.97%,0
111,96.00%,96.03%,95.97%,96.63%,99.97%,1
112,95.83%,95.65%,96.00%,96.47%,99.97%,0
113,95.56%,95.28%,95.84%,96.05%,99.95%,0
114,95.74%,95.52%,95.96%,96.64%,99.95%,1
115,95.70%,95.57%,95.84%,96.41%,99.95%,0
116,95.67%,95.47%,95.88%,96.34%,99.92%,0
117,95.86%,95.79%,95.92%,96.45%,99.96%,0
118,95.77%,95.66%,95.88%,96.37%,99.92%,0
119,95.55%,95.49%,95.61%,96.45%,99.94%,0
120,95.43%,95.15%,95.70%,96.06%,99.95%,0
121,95.45%,95.40%,95.51%,96.27%,99.95%,0
122,95.52%,95.15%,95.90%,96.35%,99.97%,0
123,95.39%,95.45%,95.33%,96.20%,99.96%,0
124,95.69%,95.71%,95.67%,96.62%,99.95%,0
125,95.51%,95.62%,95.40%,96.34%,99.94%,0
126,95.19%,94.74%,95.64%,95.94%,99.95%,0
127,95.91%,95.68%,96.15%,96.67%,99.94%,1
128,95.88%,95.76%,95.99%,96.36%,99.95%,0
129,95.40%,95.55%,95.24%,96.41%,99.96%,0
130,94.92%,94.90%,94.95%,95.87%,99.93%,0
131,95.06%,94.94%,95.19%,95.89%,99.92%,0
132,95.40%,95.59%,95.21%,96.10%,99.92%,0
133,95.48%,95.46%,95.50%,96.11%,99.95%,0
134,95.47%,95.22%,95.73%,96.30%,99.96%,0
135,95.55%,95.53%,95.56%,96.59%,99.94%,0
136,95.64%,95.58%,95.70%,96.38%,99.96%,0
137,95.32%,95.42%,95.22%,96.27%,99.92%,0
138,95.83%,95.89%,95.76%,96.71%,99.99%,1
139,95.42%,95.41%,95.43%,96.43%,99.95%,0
140,95.41%,95.13%,95.69%,96.48%,99.98%,0
141,95.62%,95.52%,95.71%,96.27%,99.93%,0
142,95.55%,95.50%,95.61%,96.46%,99.95%,0
143,95.69%,95.56%,95.81%,96.56%,99.96%,0
144,95.68%,95.57%,95.79%,96.50%,99.94%,0
145,95.56%,95.83%,95.28%,96.34%,99.94%,0
146,95.30%,95.42%,95.19%,96.24%,99.95%,0
147,95.30%,95.49%,95.11%,96.15%,99.98%,0
148,95.27%,95.20%,95.33%,96.29%,99.95%,0
149,95.18%,95.04%,95.32%,96.28%,99.93%,0
150,94.69%,95.29%,94.08%,95.93%,99.97%,0
151,95.01%,95.26%,94.76%,96.05%,99.97%,0
152,95.54%,95.41%,95.68%,96.54%,99.92%,0
153,95.27%,94.90%,95.64%,96.24%,99.97%,0
154,94.89%,94.80%,94.99%,96.03%,99.91%,0
155,95.68%,95.85%,95.51%,96.40%,99.95%,0
156,94.75%,94.89%,94.62%,95.82%,99.97%,0
157,95.29%,95.20%,95.38%,96.20%,99.94%,0
158,95.64%,95.52%,95.77%,96.48%,99.94%,0
159,95.38%,95.57%,95.20%,96.47%,99.98%,0
160,95.10%,94.53%,95.67%,96.08%,99.96%,0
161,95.47%,95.47%,95.46%,96.31%,99.98%,0
162,95.23%,95.28%,95.18%,96.49%,99.96%,0
163,95.08%,95.22%,94.95%,96.26%,99.96%,0
164,95.14%,95.53%,94.75%,96.10%,99.95%,0
165,95.04%,95.06%,95.02%,95.91%,99.95%,0
166,95.47%,95.29%,95.66%,96.32%,99.91%,0
167,95.04%,94.60%,95.48%,96.31%,99.98%,0
168,94.55%,94.97%,94.13%,95.75%,99.94%,0
169,94.82%,94.24%,95.40%,95.98%,99.94%,0
170,95.34%,95.55%,95.12%,96.39%,99.90%,0
171,94.97%,95.11%,94.82%,95.95%,99.92%,0
172,95.54%,95.41%,95.68%,96.48%,99.91%,0
173,95.47%,95.15%,95.79%,96.54%,99.93%,0
174,94.94%,94.52%,95.35%,95.92%,99.94%,0
175,95.18%,95.30%,95.06%,96.28%,99.94%,0
176,95.60%,95.47%,95.73%,96.51%,99.95%,0
177,95.27%,94.93%,95.61%,96.35%,99.91%,0
178,95.47%,95.30%,95.63%,96.51%,99.97%,0
179,95.42%,95.47%,95.36%,96.47%,99.95%,0
180,95.23%,95.26%,95.21%,96.33%,99.92%,0
181,94.56%,94.13%,95.00%,95.76%,99.94%,0
182,95.10%,94.78%,95.42%,96.32%,99.94%,0
183,95.08%,94.70%,95.45%,96.24%,99.95%,0
184,95.02%,94.79%,95.24%,96.27%,99.92%,0
185,95.18%,95.24%,95.12%,96.19%,99.93%,0
186,95.16%,94.58%,95.74%,96.16%,99.97%,0
187,95.43%,95.39%,95.46%,96.19%,99.93%,0
188,95.12%,95.15%,95.10%,96.18%,99.89%,0
189,95.39%,95.39%,95.40%,96.42%,99.96%,0
